Company,Position
K - TIC Software de optimización integral,Director
MINISTERIO DE INFRAESTRUCTURA VIVIENDA Y SERVICIOS PUBLICOS,Empleado gubernamental
UNLP-Universidad Nacional de La Plata,Community Manager
,
YPF SA,Soporte Técnico Presencial
Fundación de Investigaciones Económicas Latinoamericanas,Institucional
Accenture,Client Financial Management Analyst
JPMorgan Chase & Co.,Operations Risk & Controls - MIS | CIB Operations
Hospital Italiano de Buenos Aires,Analista
Aon,Directora Adjunta Business Intelligence 
ETL Capital,Chief Investment Officer
University of California, Berkeley,PhD in Economics Student
Grupo Randazzo,Auxiliar administrativo
Oracle,ERP Staff Consultant
Ministerio de Jefatura de Gabinete de Ministros,Analista de base de datos y elaborador de informes de gestión - Seguimiento de proyectos
Evaluadora Latinoamericana S.A.,Co-Chief Executive Officer
BBVA en Argentina,Analista de riesgos financieros
Accenture,Client Financial Management Analyst
Accenture,Corporate Function Finance Associate
Accenture,Client Financial Management Analyst
CIFI - Corporación Interamericana para el Financiamiento de Infraestructura, S.A.,Financial Analyst
Instituto de Investigaciones Económicas - FCE UNLP,Becario de investigación
Ministerio de Economía de la Provincia de Bs. As.,Consultor Junior
Tesorería General de la Nación - Secretaría de Hacienda,Analista de Programación y Control de la Ejecución Financiera
LuzConsulting,Lead Project Manager
Harvard's Center for International Development ,Director of Strategic Engagement and Development
Medix ,Analista de Cuentas a Pagar
Universidad del CEMA,Profesor econometria
Secretaría de Gobierno de Energía,Director Nacional de Evaluación de Políticas y Proyectos Energéticos
CAF - banco de desarrollo de América Latina,Ejecutivo Principal
