"","Company","Position"
"426","Honorable Cámara de Senadores de la Provincia de Buenos Aires","Asesor legislativo"
"427","Universidad Nacional de General Sarmiento","Investigador-Docente"
"428","Ministerio de Hacienda","Analista. Dirección de Análisis del Sector Externo"
"429","Gobierno de la Ciudad de Buenos Aires","Gerente Operativo de Recursos Humanos"
"430","Ministerio de Producción de la Nación","Consultor Secretaria de Industria"
"431","Ministerio de Desarrollo Productivo de la Nación","Economista"
"432","CIEPP","Becaria Doctoral CONICET- Researcher Phd Candidate"
"433","Experian","Pre Sales Specialist"
"434","Ministerio de Producción - Subsecretaría de Planeamiento y Desarrollo Productivo","Analista sectorial"
"435","Zurich Santander Seguros","Lead Data Scientist"
"436","FIEL","Senior Economist"
"437","CIA EL COATI S.A.","Subgerente de Administración y Control de Gestión"
"438","Ministerio de Trabajo, Empleo y Seguridad Social","Especialista en técnicas cuantitativas"
"439","CNN Radio Argentina","Economista"
"440","Instituto de Industria, Universidad Nacional de General Sarmiento, Argentina","Investigador docente"
"441","Gobierno de la Ciudad de Buenos Aires","Director General de Coordinación de Gestión"
"442","ESEADE UNIVERSIDAD","Subdirector de la Maestría en Economía y Ciencias Políticas"
"443","International Labour Organization","Senior Regional Specialist on Wages for Asia and the Pacific"
"444","Banco Central de la República Argentina","Inspector Senior de Riesgo Crediticio"
"445","LADOS, cultura urbana","Coordinadora General de proyectos culturales"
"446","Ministerio de Hacienda","Analista Politica Fiscal"
"447","Bahía Blanca Sociedad de Bolsa S.A.","Corporate & Institutional Investors"
"448","UNGS","Senior"
"449","Instituto Nacional de Tecnologia Agropecuaria","Investigador "
"450","Universidad de Buenos Aires","Docente"
"451","ARBA","Subdirector Ejecutivo de Recaudación y Catastro"
"452","Ministerio de Hacienda","Directora Nacional Economía y Género"
"453","Banco Central de la República Argentina","Asistente de análisis monetario"
"454","ABECEB","Analista Macroeconómico"
"455","Equifax","Líder Data Scientist"
"456","Movistar Argentina","Data Scientist - Gerencia de Big Data y Business Intelligence"
"457","UADE","Director de INECO"
"458","Orazul Energy","Líder Comercial"
"459","Estudio Contable","Asociado"
"460","Dirección Nacional SINTyS","Gestión de la Información y Calidad del Dato"
"461","Municipio de Tornquist","Director Equipo Técnico. Secretaría de Turismo"
"462","Comisión Económica para América Latina y el Caribe (CEPAL)","Consultor"
"463","INDEC","Asesora"
"464","Comisión Nacional de Defensa de la Competencia","Analista económico"
"465","Profesor Titular Ordinario -Facultad de Ciencias Económicas -Universidad Nacional de La Plata-","Profesor - Licenciado"
"466","Ministerio del Interior, Obras Públicas y Vivienda","Analista"
"467","Instituto Nacional de Estadísticas y Censos (INDEC)","Coordinador de área de Servicios"
"468","SEIDO","Managing Partner"
"469","PUENTE","Jefe Relaciones Estrategicas "
"470","Unión Industrial Argentina","Director Centro de Estudios (CEU-UIA)"
"471","Universidad Torcuato Di Tella","Dean, School of Government"
"472","Club Estudiantes de La Plata","Entrenador de Básquetbol"
"473","",""
"474","Ministerio de Hacienda","Analista Dirección Nacional de Financiamiento con Organismos Regionales de Crédito"
"475","CEDES","Investigador"
"476","AGN Auditoría General de la Nación","Auditora experta"
"477","Jefatura de Gabinete de Ministros","Gestión y planificación de proyectos"
"478","QUANT innovación social ","Economista"
"479","ENARGAS","Analista económico"
"480","MURAL","Data Scientist"
"481","Gobierno de la Ciudad de Buenos Aires","Secretario de Ambiente"
"482","Comisión Económica para América Latina y el Caribe (CEPAL)","Investigadora asistente"
"483","Invecq Consulting SA","Presidente"
"484","InfraMove","Road Safety Consultant"
"485","EY","Transfer Pricing Manager"
"486","Ministerio de Economía","Analista de Política Fiscal"
"487","Elypsis","Chief Economist"
"488","Municipio de Tigre","Economista"
"489","IDB Invest","Senior Economist"
"490","Alberdi Partners","Analista Jr"
"491","INDEC Argentina","Investigadora en la Cuenta Satélite de Cultura"
"492","Autónomo","Consultora Sr. en Energía"
"493","Cámara Argentina de Comercio","Analista Sr. de Economía"
"494","ANSES","Coordinador de Análisis Integral de la Seguridad Social"
"495","AFIP","Analista"
"496","CELIV UNTREF","Research Analyst"
"497","Finance Dreams","Director"
"498","BBVA en Argentina","Ejecutivo Premium Direct"
"499","Universidad Torcuato Di Tella","Profesor visitante"
"500","Accenture","Global Corporate Function Finance Associate"
"501","Centro de Estudios Distributivos, Laborales y Sociales (UNLP)","Investigador Junior"
"502","Ministerio del Interior, Obras Públicas y Vivienda","Asesor"
"503","Dirección Provincial de Redeterminación de Precios - Ministerio de Infraestructura y Obras Públicas","Analista de elaboración de informes"
"504","Trabajador por cuenta propia","Profesor particular de Español"
"505","FIEL","Economista Jefe"
"506","AFIP","PROFESIONAL CONTABLE"
"507","",""
"508","University of Tasmania","Associate Professor in Economics and Finance"
"509","Profesional independiente","Consultor de Negocios "
